,Nome,Sobrenome,Data de Nascimento,Loja,Produto,Data,Quantidade Vendida,Preco,Faturamento,Mes_Vendas,Mes_Vendas_Num,Devolucoes
114,Jucelia,Bailly,27/03/1986,Porto Alegre,Sapato,2018-01-31,113,30,3390,Janeiro,1,2
107,Izabel,Milagre,26/10/1990,Brasilia,Saia,2018-01-30,27,150,4050,Janeiro,1,1
109,Emanuella,Fialho,17/03/1990,Salvador,Casaco,2018-01-30,55,25,1375,Janeiro,1,2
103,Elizeu,Barros,21/02/1993,Brasilia,Saia,2018-01-30,98,200,19600,Janeiro,1,8
102,Maryanna,Correa,09/11/1992,Fortaleza,Vestido,2018-01-30,131,150,19650,Janeiro,1,5
77,Maryanna,Correa,10/06/1988,Rio de Janeiro,Vestido,2018-01-23,90,55,4950,Janeiro,1,4
104,Elizeu,Barros,04/05/1988,Curitiba,Vestido,2018-01-30,138,110,15180,Janeiro,1,3
106,Joyce,Ribas,06/08/1985,Rio de Janeiro,Vestido,2018-01-30,51,110,5610,Janeiro,1,8
108,Elizeu,Barros,25/04/1986,Salvador,Pulseira,2018-01-30,28,85,2380,Janeiro,1,4
98,Paloma,Farias,28/11/1988,Curitiba,Jaqueta,2018-01-29,103,300,30900,Janeiro,1,7
99,Joyce,Ribas,06/05/1989,Porto Alegre,Vestido,2018-01-29,69,150,10350,Janeiro,1,1
100,Elizeu,Barros,19/10/1993,Curitiba,Saia,2018-01-29,59,30,1770,Janeiro,1,7
101,Joyce,Ribas,31/05/1990,Fortaleza,Camiseta,2018-01-29,7,75,525,Janeiro,1,4
94,Izabel,Milagre,15/01/1989,Salvador,Sapato,2018-01-28,113,150,16950,Janeiro,1,6
105,Jucelia,Bailly,18/01/1991,Brasilia,Casaco,2018-01-30,92,85,7820,Janeiro,1,8
78,Eduarda,Figueiredo,20/11/1992,Rio de Janeiro,Short,2018-01-23,22,75,1650,Janeiro,1,1
79,Eduarda,Figueiredo,09/10/1987,Porto Alegre,Pulseira,2018-01-23,64,25,1600,Janeiro,1,1
76,Elizeu,Barros,06/02/1987,Curitiba,Vestido,2018-01-23,130,110,14300,Janeiro,1,2
48,Eduarda,Figueiredo,30/04/1989,Fortaleza,Saia,2018-01-15,64,85,5440,Janeiro,1,4
49,Elizeu,Barros,26/03/1986,Fortaleza,Sapato,2018-01-15,11,200,2200,Janeiro,1,2
50,Andrew,Carvalhal,09/01/1993,Sao Paulo,Bermuda,2018-01-15,73,25,1825,Janeiro,1,8
64,Patricia,Camara,18/04/1985,Brasilia,Casaco,2018-01-19,95,150,14250,Janeiro,1,8
63,Jucelia,Bailly,15/03/1985,Rio de Janeiro,Tenis,2018-01-19,123,150,18450,Janeiro,1,6
65,Emanuella,Fialho,24/06/1991,Curitiba,Vestido,2018-01-19,10,230,2300,Janeiro,1,3
62,Maryanna,Correa,31/10/1990,Rio de Janeiro,Casaco,2018-01-18,80,200,16000,Janeiro,1,4
47,NatÃ¡lia,Huon,09/11/1985,Rio de Janeiro,Jaqueta,2018-01-15,98,250,24500,Janeiro,1,2
51,Izabel,Milagre,27/11/1985,Sao Paulo,Camiseta,2018-01-16,128,250,32000,Janeiro,1,5
53,Andrew,Carvalhal,29/06/1987,Rio de Janeiro,Casaco,2018-01-16,142,190,26980,Janeiro,1,1
54,Eduarda,Figueiredo,19/06/1988,Porto Alegre,Vestido,2018-01-16,85,190,16150,Janeiro,1,7
55,Joyce,Ribas,13/03/1986,Sao Paulo,Sandalia,2018-01-16,85,30,2550,Janeiro,1,4
56,Eduarda,Figueiredo,24/08/1985,Brasilia,Sapato,2018-01-16,79,30,2370,Janeiro,1,6
57,Tayna,Coimbra,14/01/1992,Fortaleza,Sapato,2018-01-16,15,150,2250,Janeiro,1,8
59,Paloma,Farias,12/02/1991,Porto Alegre,Camiseta,2018-01-17,109,150,16350,Janeiro,1,3
58,Eduarda,Figueiredo,10/03/1986,Porto Alegre,Sapato,2018-01-17,115,250,28750,Janeiro,1,3
52,Andrew,Carvalhal,10/09/1987,Curitiba,Casaco,2018-01-16,148,200,29600,Janeiro,1,8
112,Jucelia,Bailly,09/08/1992,Curitiba,Sandalia,2018-01-31,124,55,6820,Janeiro,1,3
46,Breno,Amaral,19/12/1985,Rio de Janeiro,Sapato,2018-01-15,139,190,26410,Janeiro,1,8
71,Andrew,Carvalhal,12/05/1988,Fortaleza,Jaqueta,2018-01-21,36,25,900,Janeiro,1,7
73,Iago,Bensdorp,09/02/1985,Curitiba,Vestido,2018-01-22,121,55,6655,Janeiro,1,2
74,Maryanna,Correa,27/02/1990,Brasilia,Camiseta,2018-01-22,17,30,510,Janeiro,1,6
72,Emanuella,Fialho,11/09/1988,Rio de Janeiro,Casaco,2018-01-22,112,150,16800,Janeiro,1,2
37,Elizeu,Barros,07/08/1989,Sao Paulo,Sapato,2018-01-13,150,85,12750,Janeiro,1,7
38,Elizeu,Barros,08/12/1988,Sao Paulo,Tenis,2018-01-13,71,150,10650,Janeiro,1,5
39,Izabel,Milagre,11/09/1992,Salvador,Short,2018-01-13,55,190,10450,Janeiro,1,4
40,Andrew,Carvalhal,12/09/1993,Curitiba,Bermuda,2018-01-13,21,250,5250,Janeiro,1,8
66,Izabel,Milagre,11/05/1991,Fortaleza,Casaco,2018-01-20,68,30,2040,Janeiro,1,8
41,Elizeu,Barros,28/11/1992,Fortaleza,Chinelo,2018-01-13,49,55,2695,Janeiro,1,1
68,Andrew,Carvalhal,08/10/1991,Curitiba,Casaco,2018-01-21,20,250,5000,Janeiro,1,5
67,Eduarda,Figueiredo,30/04/1989,Rio de Janeiro,Casaco,2018-01-21,137,75,10275,Janeiro,1,2
70,Jucelia,Bailly,28/12/1992,Brasilia,Jaqueta,2018-01-21,68,25,1700,Janeiro,1,3
42,Elizeu,Barros,14/01/1991,Rio de Janeiro,Saia,2018-01-14,89,250,22250,Janeiro,1,6
43,Joyce,Ribas,06/11/1988,Curitiba,Vestido,2018-01-14,83,150,12450,Janeiro,1,6
45,Paloma,Farias,20/09/1989,Brasilia,Vestido,2018-01-14,14,190,2660,Janeiro,1,7
44,Patricia,Camara,21/10/1986,Curitiba,Sapato,2018-01-14,35,110,3850,Janeiro,1,4
69,Elizeu,Barros,18/12/1988,Porto Alegre,Saia,2018-01-21,10,190,1900,Janeiro,1,2
113,Maryanna,Correa,29/05/1987,Fortaleza,Vestido,2018-01-31,26,190,4940,Janeiro,1,5
61,Izabel,Milagre,07/03/1986,Curitiba,Sapato,2018-01-17,12,300,3600,Janeiro,1,6
11,Patricia,Camara,15/03/1989,Rio de Janeiro,Vestido,2018-01-04,5,200,1000,Abril,1,1
22,Breno,Amaral,14/06/1985,Salvador,Pulseira,2018-01-07,16,250,4000,Julho,1,2
16,Iago,Bensdorp,03/01/1993,Fortaleza,Camiseta,2018-01-06,120,300,36000,Junho,1,2
13,Joyce,Ribas,16/06/1986,Curitiba,Vestido,2018-01-05,73,110,8030,Maio,1,7
12,Paloma,Farias,01/12/1985,Rio de Janeiro,Sapato,2018-01-05,121,110,13310,Maio,1,7
24,Iago,Bensdorp,09/01/1989,Brasilia,Bermuda,2018-01-07,60,25,1500,Julho,1,3
36,Paloma,Farias,13/08/1992,Fortaleza,Vestido,2018-01-11,42,75,3150,Novembro,1,3
35,Emanuella,Fialho,24/01/1987,Curitiba,Vestido,2018-01-11,42,200,8400,Novembro,1,7
34,Jucelia,Bailly,14/02/1992,Rio de Janeiro,Vestido,2018-01-10,7,190,1330,Outubro,1,1
20,Paloma,Farias,10/08/1989,Salvador,Vestido,2018-01-07,121,55,6655,Julho,1,8
21,Joyce,Ribas,09/03/1988,Brasilia,Camiseta,2018-01-07,78,75,5850,Julho,1,8
3,Paloma,Farias,29/03/1989,Rio de Janeiro,Vestido,2018-01-02,55,55,3025,Fevereiro,1,1
4,Iago,Bensdorp,11/12/1989,Brasilia,Vestido,2018-01-02,7,75,525,Fevereiro,1,1
5,Paloma,Farias,22/12/1993,Brasilia,Sapato,2018-01-03,88,200,17600,Marco,1,6
6,Patricia,Camara,10/09/1991,Sao Paulo,Sandalia,2018-01-03,116,55,6380,Marco,1,2
7,Maryanna,Correa,06/05/1988,Porto Alegre,Saia,2018-01-03,109,55,5995,Marco,1,4
8,Joyce,Ribas,02/08/1985,Fortaleza,Saia,2018-01-03,12,250,3000,Marco,1,7
9,Andrew,Carvalhal,15/12/1986,Rio de Janeiro,Vestido,2018-01-03,40,55,2200,Marco,1,2
18,Izabel,Milagre,07/01/1987,Salvador,Casaco,2018-01-06,120,25,3000,Junho,1,1
23,Breno,Amaral,04/04/1993,Salvador,Vestido,2018-01-07,64,25,1600,Julho,1,8
17,Maryanna,Correa,18/01/1991,Brasilia,Vestido,2018-01-06,145,75,10875,Junho,1,6
27,Izabel,Milagre,29/09/1993,Salvador,Vestido,2018-01-08,120,150,18000,Agosto,1,1
31,Iago,Bensdorp,06/04/1990,Rio de Janeiro,Vestido,2018-01-09,5,30,150,Setembro,1,4
19,Emanuella,Fialho,17/12/1987,Brasilia,Bermuda,2018-01-06,54,25,1350,Junho,1,4
14,Jucelia,Bailly,26/04/1987,Fortaleza,Camiseta,2018-01-05,99,30,2970,Maio,1,3
15,Iago,Bensdorp,15/08/1989,Fortaleza,Casaco,2018-01-05,53,25,1325,Maio,1,5
30,Andrew,Carvalhal,20/12/1993,Salvador,Camiseta,2018-01-09,58,30,1740,Setembro,1,1
32,Joyce,Ribas,10/03/1989,Brasilia,Jaqueta,2018-01-10,115,190,21850,Outubro,1,4
33,Izabel,Milagre,18/06/1988,Brasilia,Vestido,2018-01-10,79,85,6715,Outubro,1,2
29,Izabel,Milagre,21/12/1990,Brasilia,Casaco,2018-01-09,62,30,1860,Setembro,1,5
28,Patricia,Camara,10/09/1987,Fortaleza,Sapato,2018-01-08,125,30,3750,Agosto,1,4
10,Paloma,Farias,01/05/1988,Brasilia,Vestido,2018-01-04,73,110,8030,Abril,1,3
1,Andrew,Carvalhal,18/07/1992,Brasilia,Camiseta,2018-01-02,57,250,14250,Fevereiro,1,6
2,Andrew,Carvalhal,12/02/1985,Sao Paulo,Sapato,2018-01-02,44,150,6600,Fevereiro,1,6
26,Paloma,Farias,09/10/1987,Curitiba,Sandalia,2018-01-08,107,190,20330,Agosto,1,2
25,Jucelia,Bailly,19/08/1992,Curitiba,Vestido,2018-01-08,127,230,29210,Agosto,1,7
183,Tayna,Coimbra,05/10/1987,Fortaleza,Sapato,2018-02-27,13,190,2470,Fevereiro,2,7
175,Eduarda,Figueiredo,30/04/1990,Rio de Janeiro,Short,2018-02-25,144,190,27360,Fevereiro,2,7
178,NatÃ¡lia,Huon,10/08/1985,Curitiba,Vestido,2018-02-27,90,300,27000,Fevereiro,2,1
182,Breno,Amaral,03/08/1986,Fortaleza,Sapato,2018-02-27,58,110,6380,Fevereiro,2,7
176,Andrew,Carvalhal,29/04/1992,Brasilia,Vestido,2018-02-25,78,75,5850,Fevereiro,2,8
181,Jucelia,Bailly,06/12/1989,Curitiba,Pulseira,2018-02-27,58,150,8700,Fevereiro,2,6
180,Paloma,Farias,30/09/1987,Salvador,Saia,2018-02-27,128,110,14080,Fevereiro,2,5
173,Tayna,Coimbra,29/01/1989,Salvador,Vestido,2018-02-25,136,250,34000,Fevereiro,2,4
122,Elizeu,Barros,05/11/1991,Salvador,Vestido,2018-02-14,57,85,4845,Fevereiro,2,1
128,Izabel,Milagre,28/10/1992,Salvador,Sapato,2018-02-15,98,55,5390,Fevereiro,2,3
129,Jucelia,Bailly,29/04/1989,Porto Alegre,Sapato,2018-02-15,150,25,3750,Fevereiro,2,2
154,Izabel,Milagre,22/02/1990,Sao Paulo,Sapato,2018-02-21,15,250,3750,Fevereiro,2,8
149,Juliane,Felipi,29/12/1991,Brasilia,Vestido,2018-02-21,102,250,25500,Fevereiro,2,8
177,Paloma,Farias,14/06/1987,Salvador,Vestido,2018-02-26,16,200,3200,Fevereiro,2,6
141,Elizeu,Barros,27/07/1985,Salvador,Saia,2018-02-19,123,200,24600,Fevereiro,2,5
143,Eduarda,Figueiredo,31/05/1993,Brasilia,Casaco,2018-02-19,69,85,5865,Fevereiro,2,1
150,Eduarda,Figueiredo,30/01/1989,Curitiba,Sapato,2018-02-21,119,150,17850,Fevereiro,2,2
151,Breno,Amaral,12/02/1993,Rio de Janeiro,Sapato,2018-02-21,150,85,12750,Fevereiro,2,1
155,Breno,Amaral,31/01/1989,Rio de Janeiro,Jaqueta,2018-02-21,29,110,3190,Fevereiro,2,4
156,Tayna,Coimbra,26/12/1988,Brasilia,Sandalia,2018-02-21,88,30,2640,Fevereiro,2,6
157,Elizeu,Barros,01/01/1987,Salvador,Sapato,2018-02-21,24,75,1800,Fevereiro,2,2
158,Elizeu,Barros,14/06/1993,Porto Alegre,Vestido,2018-02-21,22,75,1650,Fevereiro,2,2
159,Elizeu,Barros,01/01/1985,Rio de Janeiro,Vestido,2018-02-21,2,300,600,Fevereiro,2,8
124,Breno,Amaral,03/11/1988,Fortaleza,Jaqueta,2018-02-15,139,230,31970,Fevereiro,2,7
125,Juliane,Felipi,16/11/1985,Porto Alegre,Vestido,2018-02-15,120,250,30000,Fevereiro,2,1
126,Maryanna,Correa,27/01/1992,Porto Alegre,Sandalia,2018-02-15,98,190,18620,Fevereiro,2,2
142,Maryanna,Correa,19/08/1993,Salvador,Vestido,2018-02-19,56,200,11200,Fevereiro,2,2
127,Jucelia,Bailly,06/05/1985,Salvador,Jaqueta,2018-02-15,43,300,12900,Fevereiro,2,6
123,Paloma,Farias,15/07/1993,Porto Alegre,Saia,2018-02-15,143,230,32890,Fevereiro,2,8
148,Juliane,Felipi,08/04/1989,Rio de Janeiro,Short,2018-02-19,4,75,300,Fevereiro,2,6
174,Breno,Amaral,28/06/1990,Salvador,Casaco,2018-02-25,140,230,32200,Fevereiro,2,1
146,Elizeu,Barros,23/09/1991,Rio de Janeiro,Pulseira,2018-02-19,6,250,1500,Fevereiro,2,1
161,Maryanna,Correa,20/05/1993,Rio de Janeiro,Camiseta,2018-02-22,129,75,9675,Fevereiro,2,1
120,Joyce,Ribas,06/09/1985,Curitiba,Camiseta,2018-02-14,65,200,13000,Fevereiro,2,8
119,Breno,Amaral,09/03/1991,Curitiba,Sapato,2018-02-14,101,300,30300,Fevereiro,2,3
167,Eduarda,Figueiredo,23/07/1993,Porto Alegre,Vestido,2018-02-23,93,30,2790,Fevereiro,2,1
164,Jucelia,Bailly,29/09/1986,Fortaleza,Jaqueta,2018-02-23,113,300,33900,Fevereiro,2,4
163,NatÃ¡lia,Huon,12/06/1985,Porto Alegre,Pulseira,2018-02-23,148,230,34040,Fevereiro,2,4
133,Maryanna,Correa,09/11/1987,Sao Paulo,Bermuda,2018-02-17,34,300,10200,Fevereiro,2,3
131,Paloma,Farias,10/05/1993,Brasilia,Bermuda,2018-02-17,108,200,21600,Fevereiro,2,3
134,Iago,Bensdorp,06/07/1985,Rio de Janeiro,Tenis,2018-02-17,110,25,2750,Fevereiro,2,2
135,Tayna,Coimbra,19/08/1993,Salvador,Sapato,2018-02-17,6,110,660,Fevereiro,2,1
132,Paloma,Farias,01/05/1988,Curitiba,Casaco,2018-02-17,72,150,10800,Fevereiro,2,2
166,Eduarda,Figueiredo,26/07/1989,Rio de Janeiro,Sapato,2018-02-23,74,75,5550,Fevereiro,2,8
165,Izabel,Milagre,09/02/1992,Porto Alegre,Casaco,2018-02-23,42,230,9660,Fevereiro,2,1
184,Izabel,Milagre,02/06/1993,Brasilia,Sandalia,2018-02-28,31,200,6200,Fevereiro,2,6
186,Breno,Amaral,21/04/1987,Rio de Janeiro,Saia,2018-02-28,54,25,1350,Fevereiro,2,3
118,Iago,Bensdorp,09/02/1985,Sao Paulo,Casaco,2018-02-09,80,85,6800,Setembro,2,7
117,Eduarda,Figueiredo,26/11/1986,Salvador,Sandalia,2018-02-02,93,110,10230,Fevereiro,2,4
116,Breno,Amaral,27/01/1988,Rio de Janeiro,Sapato,2018-02-01,17,30,510,Janeiro,2,6
115,Patricia,Camara,01/03/1993,Salvador,Vestido,2018-02-01,147,110,16170,Janeiro,2,5
160,NatÃ¡lia,Huon,09/07/1993,Curitiba,Casaco,2018-02-22,77,190,14630,Fevereiro,2,1
185,Paloma,Farias,29/05/1989,Salvador,Sapato,2018-02-28,19,300,5700,Fevereiro,2,5
147,NatÃ¡lia,Huon,10/08/1986,Curitiba,Vestido,2018-02-19,15,85,1275,Fevereiro,2,7
121,Paloma,Farias,11/10/1992,Sao Paulo,Sapato,2018-02-14,131,75,9825,Fevereiro,2,3
162,Paloma,Farias,07/11/1992,Brasilia,Saia,2018-02-22,27,230,6210,Fevereiro,2,7
152,Iago,Bensdorp,29/03/1993,Sao Paulo,Pulseira,2018-02-21,28,250,7000,Fevereiro,2,5
171,Andrew,Carvalhal,02/02/1988,Fortaleza,Casaco,2018-02-24,14,300,4200,Fevereiro,2,1
170,Joyce,Ribas,04/10/1990,Porto Alegre,Sapato,2018-02-24,24,200,4800,Fevereiro,2,8
179,Joyce,Ribas,01/02/1992,Curitiba,Camiseta,2018-02-27,98,230,22540,Fevereiro,2,4
153,Eduarda,Figueiredo,11/09/1990,Brasilia,Sandalia,2018-02-21,31,200,6200,Fevereiro,2,3
169,Maryanna,Correa,05/08/1985,Rio de Janeiro,Camiseta,2018-02-24,21,230,4830,Fevereiro,2,2
137,Elizeu,Barros,26/12/1989,Fortaleza,Short,2018-02-18,148,150,22200,Fevereiro,2,5
172,Jucelia,Bailly,13/01/1986,Salvador,Sapato,2018-02-24,37,110,4070,Fevereiro,2,2
140,NatÃ¡lia,Huon,12/11/1993,Curitiba,Vestido,2018-02-18,4,85,340,Fevereiro,2,3
138,Maryanna,Correa,10/12/1990,Curitiba,Chinelo,2018-02-18,69,75,5175,Fevereiro,2,3
144,Izabel,Milagre,24/04/1990,Salvador,Sandalia,2018-02-19,118,25,2950,Fevereiro,2,3
136,Breno,Amaral,22/06/1990,Brasilia,Sandalia,2018-02-18,150,230,34500,Fevereiro,2,1
145,Joyce,Ribas,01/07/1988,Porto Alegre,Pulseira,2018-02-19,27,75,2025,Fevereiro,2,7
130,Izabel,Milagre,03/10/1986,Porto Alegre,Sandalia,2018-02-16,76,250,19000,Fevereiro,2,2
139,Paloma,Farias,03/08/1992,Curitiba,Sapato,2018-02-18,67,75,5025,Fevereiro,2,4
168,Maryanna,Correa,06/05/1985,Salvador,Casaco,2018-02-24,109,150,16350,Fevereiro,2,8
198,Breno,Amaral,23/01/1988,Curitiba,Pulseira,2018-03-03,80,85,6800,Marco,3,5
305,Paloma,Farias,26/05/1991,Porto Alegre,Casaco,2018-03-27,3,150,450,Marco,3,6
245,Patricia,Camara,15/09/1989,Fortaleza,Casaco,2018-03-14,13,300,3900,Marco,3,3
304,Paloma,Farias,06/01/1993,Sao Paulo,Vestido,2018-03-27,45,85,3825,Marco,3,2
300,Andrew,Carvalhal,27/09/1989,Porto Alegre,Sapato,2018-03-27,127,150,19050,Marco,3,1
200,Eduarda,Figueiredo,12/11/1993,Brasilia,Chinelo,2018-03-03,8,200,1600,Marco,3,3
199,Jucelia,Bailly,26/04/1991,Brasilia,Vestido,2018-03-03,115,55,6325,Marco,3,2
244,Emanuella,Fialho,25/10/1993,Salvador,Tenis,2018-03-14,146,30,4380,Marco,3,6
243,Patricia,Camara,30/03/1988,Fortaleza,Casaco,2018-03-14,148,30,4440,Marco,3,4
302,Iago,Bensdorp,27/08/1987,Brasilia,Camiseta,2018-03-27,68,250,17000,Marco,3,3
303,Iago,Bensdorp,24/12/1988,Porto Alegre,Short,2018-03-27,120,85,10200,Marco,3,8
301,Andrew,Carvalhal,07/06/1991,Rio de Janeiro,Short,2018-03-27,117,150,17550,Marco,3,7
202,Patricia,Camara,22/08/1992,Brasilia,Sapato,2018-03-04,136,110,14960,Abril,3,5
225,Elizeu,Barros,07/09/1989,Salvador,Sapato,2018-03-09,118,190,22420,Setembro,3,6
299,Eduarda,Figueiredo,22/10/1989,Rio de Janeiro,Vestido,2018-03-26,82,30,2460,Marco,3,1
239,Patricia,Camara,28/11/1985,Porto Alegre,Sandalia,2018-03-13,28,300,8400,Marco,3,5
241,Andrew,Carvalhal,03/05/1990,Fortaleza,Saia,2018-03-13,53,75,3975,Marco,3,5
224,Elizeu,Barros,13/10/1989,Sao Paulo,Casaco,2018-03-08,45,25,1125,Agosto,3,2
287,Iago,Bensdorp,22/06/1992,Porto Alegre,Vestido,2018-03-24,52,300,15600,Marco,3,3
288,Juliane,Felipi,04/07/1992,Brasilia,Sapato,2018-03-24,116,30,3480,Marco,3,5
289,Andrew,Carvalhal,07/08/1992,Porto Alegre,Saia,2018-03-24,17,30,510,Marco,3,7
193,Andrew,Carvalhal,02/02/1986,Curitiba,Sandalia,2018-03-02,76,85,6460,Fevereiro,3,4
192,Iago,Bensdorp,16/03/1993,Sao Paulo,Casaco,2018-03-02,65,110,7150,Fevereiro,3,6
195,Maryanna,Correa,12/09/1987,Porto Alegre,Vestido,2018-03-02,18,75,1350,Fevereiro,3,4
190,Breno,Amaral,01/10/1992,Curitiba,Camiseta,2018-03-01,6,75,450,Janeiro,3,8
188,Izabel,Milagre,20/07/1988,Porto Alegre,Vestido,2018-03-01,61,85,5185,Janeiro,3,6
286,Andrew,Carvalhal,29/07/1990,Brasilia,Sapato,2018-03-23,8,75,600,Marco,3,5
285,NatÃ¡lia,Huon,23/11/1985,Porto Alegre,Sapato,2018-03-23,11,55,605,Marco,3,7
283,Breno,Amaral,16/04/1989,Rio de Janeiro,Vestido,2018-03-23,75,110,8250,Marco,3,7
284,Eduarda,Figueiredo,20/03/1988,Rio de Janeiro,Camiseta,2018-03-23,42,75,3150,Marco,3,3
187,Iago,Bensdorp,13/12/1991,Porto Alegre,Vestido,2018-03-01,74,300,22200,Janeiro,3,8
189,Elizeu,Barros,07/02/1992,Fortaleza,Camiseta,2018-03-01,17,190,3230,Janeiro,3,8
282,Elizeu,Barros,27/05/1988,Fortaleza,Casaco,2018-03-22,148,25,3700,Marco,3,2
281,Paloma,Farias,15/11/1989,Rio de Janeiro,Vestido,2018-03-22,134,85,11390,Marco,3,7
240,Maryanna,Correa,26/08/1985,Curitiba,Tenis,2018-03-13,100,55,5500,Marco,3,3
298,Maryanna,Correa,21/03/1988,Fortaleza,Casaco,2018-03-26,73,85,6205,Marco,3,2
237,Elizeu,Barros,07/02/1993,Porto Alegre,Vestido,2018-03-13,98,110,10780,Marco,3,3
194,Joyce,Ribas,04/02/1989,Brasilia,Vestido,2018-03-02,28,190,5320,Fevereiro,3,8
297,Elizeu,Barros,19/10/1986,Curitiba,Casaco,2018-03-26,91,250,22750,Marco,3,5
197,Izabel,Milagre,22/06/1987,Salvador,Short,2018-03-03,57,200,11400,Marco,3,1
201,Tayna,Coimbra,24/11/1985,Salvador,Tenis,2018-03-03,5,30,150,Marco,3,5
274,Emanuella,Fialho,29/09/1988,Curitiba,Casaco,2018-03-21,133,85,11305,Marco,3,8
273,Izabel,Milagre,21/04/1987,Salvador,Pulseira,2018-03-21,80,230,18400,Marco,3,4
276,Iago,Bensdorp,28/01/1991,Sao Paulo,Short,2018-03-21,104,55,5720,Marco,3,3
277,Patricia,Camara,22/07/1989,Porto Alegre,Camiseta,2018-03-21,37,75,2775,Marco,3,3
278,Emanuella,Fialho,15/08/1987,Rio de Janeiro,Sapato,2018-03-21,2,30,60,Marco,3,5
275,Breno,Amaral,13/07/1993,Sao Paulo,Casaco,2018-03-21,85,85,7225,Marco,3,4
290,Andrew,Carvalhal,21/11/1990,Salvador,Sandalia,2018-03-25,149,200,29800,Marco,3,5
293,Iago,Bensdorp,05/12/1990,Curitiba,Vestido,2018-03-25,38,150,5700,Marco,3,4
291,Breno,Amaral,08/12/1990,Fortaleza,Vestido,2018-03-25,61,190,11590,Marco,3,3
292,Izabel,Milagre,27/06/1993,Sao Paulo,Camiseta,2018-03-25,42,150,6300,Marco,3,3
296,Paloma,Farias,12/07/1988,Sao Paulo,Vestido,2018-03-25,16,25,400,Marco,3,1
295,Joyce,Ribas,02/03/1993,Sao Paulo,Bermuda,2018-03-25,47,75,3525,Marco,3,2
294,Elizeu,Barros,26/12/1988,Brasilia,Sapato,2018-03-25,132,30,3960,Marco,3,3
246,Emanuella,Fialho,29/04/1991,Salvador,Vestido,2018-03-14,47,55,2585,Marco,3,3
191,Andrew,Carvalhal,30/07/1989,Brasilia,Sandalia,2018-03-02,112,75,8400,Fevereiro,3,3
196,Izabel,Milagre,24/02/1987,Sao Paulo,Camiseta,2018-03-02,9,85,765,Fevereiro,3,4
238,Patricia,Camara,09/03/1989,Sao Paulo,Camiseta,2018-03-13,43,200,8600,Marco,3,6
242,Eduarda,Figueiredo,05/04/1987,Sao Paulo,Camiseta,2018-03-14,32,150,4800,Marco,3,4
279,Elizeu,Barros,09/04/1986,Salvador,Casaco,2018-03-22,145,150,21750,Marco,3,4
327,Patricia,Camara,26/02/1986,Salvador,Vestido,2018-03-30,47,85,3995,Marco,3,6
325,Eduarda,Figueiredo,18/11/1985,Sao Paulo,Vestido,2018-03-30,42,230,9660,Marco,3,8
